검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,예술
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"40","디자인의 디자인=Design of design","하라 켄야 [지음];민병걸 옮김","안그라픽스","2007","","9788970593029","13630","658","210",
"40","기묘한 미술관 :아름답고 서늘한 명화 속 미스터리 ","진병관 지음","빅피시","2021","","9791191825084","03600","650.4","210",
"42","명화의 탄생 그때 그 사람 ","성수영 지음","한경BP","2024","","9788947549417","03600","650.4","208",
"43","(Sappi's) 인체 드로잉 & 해부학 클래스 =Figure drawing & anatomy class ","저자: 새삐","영진닷컴","2022","","9788931466430","14650","656.2","207",
"43","웹툰스쿨 :웹툰 창작과 스토리 작법에 관한 모든 것 ","홍난지,이종범 지음","시공사","2020","","9788952772992","03600","657.3","207",
"45","컬러의 세계 :우리가 사랑한 영화 속 컬러 팔레트 ","찰스 브라메스코 지음 ;최윤영 옮김","다산북스","2024","","9791130653082","03600","688.04","205",
"46","그림들 :모마 미술관 도슨트북 ","Sun 도슨트 지음","나무의마음","2022","","9791190457187","03810","606.9","204",
"47","포즈의 정리 :그리고 싶은 자세와 움직임, 이론으로 잡는다 ","시노후사 로쿠로 지음 ;정상연 옮김","시공사","2023","","9791169256704","13650","656.2","199",
"48","어느 미래에 당신이 없을 것이라고 :목정원 사진산문 ","지은이: 목정원","아침달","2023","","9791189467821","03600","660.4","198",
"49","살롱 드 경성 :한국 근대사를 수놓은 천재 화가들 ","김인혜 지음","해냄(해냄출판사)","2023","","9791167140647","03600","653.11","196",
"50","그림 그리기가 이토록 쉬울 줄이야 :혼자서 가볍게 시작하는 일상 드로잉 ","이기주 지음","스몰빅미디어","2022","","9791191731279","13650","656.2","195",
"51","조선 미술관 :풍속화와 궁중기록화로 만나는 문화 절정기 조선의 특별한 순간들 ","탁현규 지음","백도씨","2023","","9788968334177","03600","653.11","194",
"51","버려지는 디자인 통과되는 디자인 :더 좋은 디자인을 만드는 레이아웃의 비밀 ","이민기,강윤미 지음","길벗","2017","","9791160502831","03600","658","194",
"53","위로의 미술관 :지친 하루의 끝, 오직 나만을 위해 열려 있는 ","진병관 지음","빅피시","2022","","9791191825145","03600","650.4","193",
"54","김락희의 선화 드로잉","저자: 김락희 ;캐릭터 삽화 및 편집: 염은비","BM성안당","2023","1","9788931551587","14600","656.2","191",
"54","(크리에이터 박터틀의) 작곡 독학 가이드북 =Composition self-study ","지은이: 박주언","1458music","2019","","9791189598068","13670","671.61","191",
"56","취미가 우리를 구해줄 거야 :오늘도 재미를 찾아 나선다 ","글·그림: 방구석","김영사","2024","","9788934967194","03810","699.9","190",
"56","배우의 방 :정시우 인터뷰집 ","지은이: 정시우","휴머니스트출판그룹","2022","","9791160808315","03810","688.04","190",
"58","예술하는 습관 :위대한 창조의 순간을 만든 구체적 하루의 기록 ","메이슨 커리 지음 ;이미정 옮김","웅진씽크빅","2020","","9788901239156","03600","600.99","189",
"59","오직 나를 위한 미술관 :내 마음을 다시 피어나게 하는 그림 50 ","지은이: 정여울 ;사진: 이승원","웅진씽크빅","2023","","9788901276892","03600","650.4","188",
"60","공간 드로잉","김동호 저","디지털북스","2019","","9788960882683","13650","656.21","186",
"61","(무로이 야스오가 알려주는) 최고의 그림을 그리는 방법 ","저자: 무로이 야스오 ;번역: 김재훈","영진닷컴","2020","","9788931463217","13600","688.6","185",
"61","박찬욱의 몽타주","박찬욱","마음산책","2006","","9788989351818","03810","688.04","185",
"63","다이나믹 드로잉 ","지은이: 박리노","디지털북스","2019","","9788960882461","13650","656","180",
"63","(캐러멜의) 만화 콘티 작법서 ","글/그림: 캐러멜","서울미디어코믹스","2021","","9791136740298","07810","657.1","180",
"65","컬러 & 라이트 :리얼리즘을 위한 색과 빛을 그리는 방법 ","저자: 제임스 거니 ;번역: 김덕진","두보CMC","2012","","9788996755111","03600","651","176",
"66","시크릿 캐릭터 드로잉 ","지은이: 타코","레진엔터테인먼트","2019","","9791163981237","13650","657.1","175",
"67","(내가 만들어 모두가 사용하는) 카카오톡 이모티콘 만들기 =Make kakaotalk emoticons ","김소희 지음","길벗","2020","","9791165212698","03000","658.3","172",
"67","있는 공간, 없는 공간 :대한민국 1등 핫플레이스의 법칙 ","유정수 지음","쌤앤파커스","2023","","9791165347482","03320","658","172",
"67","태도가 작품이 될 때 =When attitudes become artwork ","박보나 지음","바다출판사","2019","","9791196517304","03600","600.9","172",
"70","브랜드 디자인 ","캐서린 슬레이드브루킹 지음 ;이재경 옮김","홍시커뮤니케이션","2018","","9791186198476","03600","658.2","171",
"70","미드나잇 뮤지엄 :파리 =Midnight museum Paris ","박송이 지음","빅피시","2023","","9791191825879","04600","650.4","171",
"72","미술관을 빌려드립니다 :당신을 위한 특별한 초대","이창용 지음","더블북코리아","2022","","9791191194661","04600","606.926","169",
"73","이야기 미술관 :우리가 이제껏 만나보지 못했던 '읽는 그림'에 대하여 ","이창용 지음","Whale Books(웨일북)","2024","","9791192097770","03600","606.926","166",
"74","(마음을 사로잡는) 만화 컷 분할 교실 ","후카야 아키라,황미숙 옮김","삼호미디어","2020","","9788978496223","13600","657.1","165",
"75","축구를 하며 생각한 것들 :손흥민 첫 에세이 ","지은이: 손흥민","브레인스토어","2019","","9791188073382","03810","695.404","164",
"76","(DVD와 함께하는) 가장 빠르게 무엇이든 그릴 수 있는 애니메이션 캐릭터 작화 기술 ","저자: 무로이 야스오 ;번역: 김재훈","Youngjin.com(영진닷컴)","2019","","9788931459715","13650","657.1","163",
"77","무서운 그림들 :기묘하고 아름다운 명화 속 이야기 ","이원율 지음","빅피시","2024","","9791193128077","03600","650.4","162",
"78","친절한 컬러링 ","박리노 저","Digital Books(디지털북스)","2017","","9788960882188","13650","657.1","161",
"79","친절한 드로잉 ","박리노 저","Digital Books(디지털북스)","2017","","9788960882072","13650","656","158",
