검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,총류
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"35","모두의 네트워크 =10일 만에 배우는 네트워크 기초 /Network for everyone ","미즈구치 카츠야 지음 ;이승룡 옮김","길벗","2018","","9791160505030","93000","004.5","261",
"37","쾌락독서 :개인주의자 문유석의 유쾌한 책 읽기 ","지은이: 문유석","문학동네","2018","","9788954653848","03800","029","260",
"38","혼자 공부하는 C 언어 :1:1 과외하듯 배우는 프로그래밍 자습서 ","서현우 지음","한빛미디어","2019","","9791162241868","94000","005.133","259",
"39","지금도 책에서만 얻을 수 있는 것 :사람들이 읽기를 싫어한다는 착각 ","김지원 지음","유유","2024","","9791167700841","03800","029.4","258",
"40","금빛 종소리 :김하나의 자유롭고 쾌락적인 고전 읽기 ","지은이: 김하나","민음사","2024","","9788937456770","03810","029.1","255",
"41","(Do it!) 점프 투 파이썬 ","박응용 지음","이지스퍼블리싱","2019","","9791163030911","13000","005.133","251",
"42","밑바닥부터 시작하는 딥러닝 :파이썬으로 익히는 딥러닝 이론과 구현 ","지은이: 사이토 고키 ;옮긴이: 개앞맵시","한빛미디어","2017","","9788968484636","93000","004.73","246",
"43","혼자 공부하는 얄팍한 코딩지식 :비전공자도 1:1 과외하듯 배우는 IT 지식 입문서 ","고현민 지음","한빛미디어","2022","","9791162245552","94000","005.1","242",
"44","삶이 허기질 때 나는 교양을 읽는다 :하루 5분 지적인 나를 만드는 최고의 인문학 만찬 ","지식 브런치 지음","서스테인","2022","","9791197825903","03030","001.3","237",
"45","도서관에는 사람이 없는 편이 좋다 :처음 듣는 이야기 ","우치다 다쓰루 지음 ;박동섭 옮김","유유","2024","","9791167700872","03020","020.4","235",
"46","이상한 책들의 도서관 :희귀 서적 수집가가 안내하는 역사상 가장 기이하고 저속하며 발칙한 책들의 세계 ","에드워드 브룩-히칭 지음 ;최세희 옮김","갈라파고스","2024","","9791193482032","03900","010.9","234",
"47","(혼자 해도 프로 작가처럼 잘 그리는) 아이패드 드로잉 :with 프로크리에이트 ","빨간고래 지음","한빛미디어","2022","","9791169210003","13000","004.16","230",
"48","(단 한 권을 읽어도 제대로 남는) 메모 독서법 ","신정철 지음","위즈덤하우스 미디어그룹","2019","","9791189938338","03320","029.4","224",
"49","(자바 ORM 표준) JPA 프로그래밍 :스프링 데이터 예제 프로젝트로 배우는 전자정부 표준 데이터베이스 프레임워크 ","김영한 지음","에이콘","2015","","9788960777330","94000","005.115","222",
"50","(Do it!) HTML+CSS+자바스크립트 웹 표준의 정석 :한 권으로 끝내는 웹 기본 교과서 ","고경희 지음","이지스퍼블리싱","2021","","9791163032212","13000","005.118","218",
"50","요즘 우아한 개발 :배달의민족을 만든 우아한형제들의 조직문화, 온보딩, 기획, 개발, 인프라 구축 이야기 ","우아한형제들 지음","Golden Rabbit(골든래빗)","2023","","9791191905458","93000","005.133","218",
"52","헤르만 헤세의 책이라는 세계 ","헤르만 헤세 지음 ;김지선 옮김","뜨인돌(뜨인돌출판)","2022","","9788958078890","03850","029.4","214",
"52","혼자 공부하는 SQL :1:1 과외하듯 배우는 데이터베이스 자습서 ","우재남 지음","한빛미디어","2021","","9791162244739","94000","005.755","214",
"54","독서의 기록 :내 인생을 바꾸는 작은 기억 ","지은이: 안예진","퍼블리온","2023","","9791191587425","03320","029.85","213",
"55","스프링 부트 3 백엔드 개발자 되기 :백엔드 로드맵에서 엄선한 최신 테크 트리로 탄탄히 배우기","지은이: 신선영","Golden Rabbit(골든래빗)","2023","","9791191905298","93000","005.138","212",
"55","챗GPT :2023 전 세계를 뒤흔든 빅이슈의 탄생 ","반병현 지음","생능출판사","2023","","9791192932057","03320","004.73","212",
"57","UX/UI의 10가지 심리학 법칙 :사용자의 마음을 읽는 인간 중심 제품과 서비스 디자인 ","지은이: 존 야블론스키 지음 ;옮긴이: 이미령","책만","2020","","9791189909208","13000","004.78","208",
"58","된다! 하루 5분 노션 활용법 :포트폴리오, 개인 관리, 업무 협업 =Gotcha! use Notion every day in 5 minuites : portfolio, life, work ","이다슬 지음","이지스퍼블리싱","2022","","9791163033264","13000","005.58","206",
"58","하루 5분 UX :UX/UI 디자인 실무를 위한 100가지 레슨 ","조엘 마시 지음 ;김은지 옮김","유엑스 리뷰","2022","","9791192143378","93000","004.78","206",
"60","모두의 깃&깃허브 =누구나 쉽게 시작하는 git & github 버전 관리 /Git & github for everyones ","강민철 지음","길벗","2022","","9791140700691","93000","005.12","203",
"61","빅데이터 커리어 가이드북 =빅데이터는 무엇이고, 빅데이터 전문가는 어떤 일을 할까? /Big date[i.e. data] career guidebook ","조성준,임성연 지음","길벗","2021","","9791165217495","03000","005.76","199",
"62","모던 자바스크립트 deep dive :자바스크립트의 기본 개념과 동작 원리 ","이웅모 지음","위키북스","2020","","9791158392239","93000","005.138","195",
"63","다시, 책은 도끼다 :박웅현 인문학 강독회 ","지은이: 박웅현","북하우스 퍼블리셔스","2016","","9788956056609","03810","001.3","194",
"63","혼자 공부하는 자바 :1:1 과외하듯 배우는 프로그래밍 자습서 ","신용권 지음","한빛미디어","2019","","9791162241875","94000","005.133","194",
"65","노션 =업무와 일상을 정리하는 새로운 방법 /Notion ","전시진,이해봄 지음","Jpub(제이펍)","2020","","9791190665476","13000","005.58","193",
"65","완벽에 관하여 :훌륭한 것을 만들어내는 일에 대한 뉴욕 목수의 이야기 ","마크 엘리슨 지음 ;정윤미 옮김","북스톤","2024","","9791193063439","03100","001.3","193",
"67","닥치는 대로 끌리는 대로 오직 재미있게 이동진 독서법 ","이동진 지음","위즈덤하우스","2022","","9791168123274","03800","029.4","191",
"68","된다! 7일 실무 엑셀 =일주일이면 기초 떼고 vlookup과 피벗 테이블까지! /Gotcha! 7 days business excel ","한정희 지음","이지스퍼블리싱","2019","","9791163030935","13000","005.53","190",
"68","우리는 언젠가 만난다 :나, 타인, 세계를 이어주는 40가지 눈부신 이야기 ","채사장 지음","Whale Books(웨일북)","2017","","9791188248124","03100","001.3","190",
"70","클린코드 :애자일 소프트웨어 장인 정신 ","로버트 C. 마틴 지음 ;이해영 옮김","인사이트","2013","","9788966260959","14000","005.1","186",
"71","저는 이 독서법으로 연봉 3억이 되었습니다 :돈 버는 독서, 몸값 올리는 독서법 ","내성적인 건물주 지음","원앤원콘텐츠그룹","2023","","9791160023961","03190","029.4","184",
"72","(Do it!) 점프 투 파이썬 ","박응용 지음","이지스퍼블리싱","2016","","9788997390915","13000","005.133","183",
"72","하루 10분 인문학 :50가지 질문으로 알아보는 나와 세계에 대한 짧은 교양 ","이준형,지일주 지음","나무의 철학","2020","","9791158511876","03100","001.3","183",
"72","파이썬 알고리즘 인터뷰 :95가지 알고리즘 문제 풀이로 완성하는 코딩 테스트 ","박상길 지음 ;정진호 일러스트","책만","2020","","9791189909178","93000","005.1","183",
"75","객체지향의 사실과 오해 :역할, 책임, 협력 관점에서 본 객체지향 =The essence of object-orientation : roles, responsibilities, and collaborations ","조영호 지음","위키북스","2015","","9788998139766","93000","005.115","180",
"75","컴퓨터 밑바닥의 비밀 :컴퓨터 시스템의 본질을 알면 코드의 실마리가 보인다 ","루 샤오펑 지음 ;김진호 옮김","길벗","2024","","9791140708819","93000","004","180",
"77","스프링 부트와 AWS로 혼자 구현하는 웹 서비스 :인텔리제이, JPA, JUnit 테스트, 그레이들, 소셜 로그인, AWS 인프라로 무중단 배포까지 ","이동욱 지음","프리렉","2019","","9788965402602","93000","005.118","178",
"77","노션 Notion 라이프 :오늘 마음만 먹는 당신을 위한 갓생 실천 비법 ","박현정 지음","한빛미디어","2023","","9791169211017","13000","005.58","178",
"77","한국 괴물 백과 ","곽재식 지음 ;이강훈 그림","Workroom(워크룸 프레스)","2018","","9791189356118","02910","001.444","178",
"80","챗GPT 사용설명서 =Chat GPT handbook ","송준용 지음","여의도책방","2023","","9791191904253","03320","004.73","175",
"81","Notion :업무와 일상을 정리하는 새로운 방법 ","전시진,이해봄 지음","Jpub(제이펍)","2019","","9791188621620","13000","005.58","173",
"82","세탁비는 이야기로 받습니다, 산복빨래방 ","글: 김준용,이재화","남해의봄날","2023","","9791193027066","03300","070.04","172",
"83","(직장인을 위한) 실무 엑셀 :실전! 비즈니스 엑셀 완전 정복 ","선양미 지음","길벗","2016","","9791160500790","03000","005.53","170",
"83","도서관은 살아 있다 :도서관은 도시의 거실 ","도서관여행자 지음","마티","2022","","9791190853361","03020","020.4","170",
"83","듣는 사람 ","지은이: 박연준","난다","2024","","9791191859690","03810","029.1","170",
"86","그렇게 쓰면 아무도 안 읽습니다 :브랜드와 서비스의 언어를 가꾸는 UX 라이터의 글쓰기 ","전주경 지음","윌북","2023","","9791155816301","03000","004.78","165",
"86","코딩 자율학습 HTML + CSS + 자바스크립트 =기초부터 반응형 웹까지 초보자를 위한 웹 개발 입문서 /Self-study coding HTML + CSS + Javascript ","김기수 지음","길벗","2022","","9791165219468","93000","005.118","165",
"88","그림으로 이해하는 네트워크 용어 ","기타미 류지 지음 ;성창규 옮김","길벗","2022","","9791165219659","93000","004.5","164",
"88","유튜브 영상 편집을 위한 프리미어 프로 :10만 구독자가 선택한 조블리의 영상 편집 강의 ","조블리(조애리) 지음","Jpub(제이펍)","2020","","9791188621811","13000","005.567","164",
"90","IT 좀 아는 사람 :비전공자도 IT 전문가처럼 생각하는 법 ","닐 메타,김고명 옮김","윌북","2021","","9791155813355","03320","004","163",
"90","혼자 공부하는 파이썬 :1:1 과외하듯 배우는 프로그래밍 자습서 ","윤인성 지음","한빛미디어","2022","","9791162245651","94000","005.133","163",
"92","책 읽고 글쓰기 :서울대 나민애 교수의 몹시 친절한 서평 가이드 ","나민애 지음","서울문화사","2020","","9791164380251","03800","029.1","161",
"93","청춘의 독서 :세상을 바꾼 위험하고 위대한 생각들 ","유시민 지음","웅진씽크빅","2017","","9788901218151","03810","029.1","157",
"93","(코딩 자율학습) 나도코딩의 파이썬 입문 =초보자의 눈높이에 맞춘 친절한 프로그래밍 자습서 /Python for beginners with Nadocoding ","나도코딩 지음","길벗","2023","","9791140703302","93000","005.133","157",
"95","(가상 면접 사례로 배우는) 대규모 시스템 설계 기초 ","알렉스 쉬 지음 ;이병준 옮김","인사이트","2021","","9788966263158","93000","005.12","154",
"95","쉽게 배우는 파이썬 데이터 분석 :데이터 분석 프로젝트 전 과정 수록! ","김영우 지음","이지스퍼블리싱","2022","","9791163033493","13000","005.133","154",
