검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,역사
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"40","행복의 지도 :세상에서 가장 행복한 곳을 찾아 떠난 여행 ","에릭 와이너 지음 ;김승욱 옮김","어크로스(어크로스출판그룹)","2021","","9791167740021","03100","980.24","182",
"41","디스 이즈 오사카 =2023-2024년 최신판 /This is Osaka ","글·사진: 호밀씨","Terra(테라)","2023","","9791192767079","13980","981.32802","178",
"42","아주 짧은 소련사 :러시아혁명부터 페레스트로이카까지, 순식간에 사라진 사회주의 실험의 역사적 현장 ","실라 피츠패트릭 지음 ;안종희 옮김","롤러코스터","2023","","9791191311273","03920","929.07","177",
"43","(최태성의) 만화 한국사","강의·글: 최태성 ;글·그림: 김연큐","메가스터디books","2021","1","9791129706812","14910","911","176",
"44","세상에서 가장 짧은 세계사 :2,000년 유럽의 모든 역사를 이해하기 위한 최소한의 지식 ","존 허스트 지음 ;김종원 옮김","위즈덤하우스","2017","","9791162201046","03900","909","173",
"45","벌거벗은 한국사 :본격 우리 역사 스토리텔링쇼","tvN story <벌거벗은 한국사> 제작팀 지음 ;한희숙 지음","프런트페이지","2022","","9791197871214","04910","911","171",
"46","(지금 바로,) 도쿄 =2023 최신판 /Tokyo ","이주호,이진천 찍고 쓰다","혜지원","2023","","9791167640468","13980","981.32302","169",
"46","디스 이즈 이탈리아 =This is Italia ","글·사진: 전혜진,박기남","Terra(테라)","2023","","9791192767031","13980","982.802","169",
"48","벌거벗은 세계사 :벗겼다, 끝나지 않는 전쟁","지은이: tvN <벌거벗은 세계사> 제작팀,황규득","교보문고","2022","3","9791159098161","03900","909","167",
"49","디스 이즈 홋카이도 =This is Hokkaido ","글·사진: 권예나,그림: 권예나","Terra(테라)","2023","","9791192767024","13980","981.3102","165",
"49","벌거벗은 한국사 :본격 우리 역사 스토리텔링쇼","tvN story <벌거벗은 한국사> 제작팀,최태성 지음","프런트페이지","2022","2","9791197871238","04910","911","165",
"51","여행의 기술 ","저자: 알랭 드 보통 ;역자: 정영목","청미래","2011","","9788986836448","03840","980.2","164",
"52","벌거벗은 세계사 :벗겼다, 세상을 뒤흔든 역사","지은이: tvN <벌거벗은 세계사> 제작팀,최태성","교보문고","2022","1","9791159095887","03900","909","162",
"52","일생일문 :단 한 번의 삶, 단 하나의 질문 ","최태성 지음","생각정원","2021","","9791191360233","03900","904","162",
"54","리얼 일본 소도시 :2023~2024년 최신판 ","지은이: 정꽃나래,이진숙","한빛라이프","2023","","9791190846035","14980","981.302","161",
"55","리얼 호주 :2022~2023년 최신판 ","박선영,김상훈 지음","한빛라이프","2022","","9791190846424","14980","986.202","159",
"56","디스 이즈 타이완 =2023~2024년 최신판 /This is Taiwan ","글·사진: 신서희","Terra(테라)","2023","","9791192767109","13980","981.2402","158",
"57","사피엔스 :그래픽 히스토리","원작·각색: 유발 하라리 ;옮긴이: 김명주","김영사","2020","2","9788934944188","07900","909","157",
"57","30개 도시로 읽는 세계사 :세계 문명을 단숨에 독파하는 역사 이야기 ","조 지무쇼 편저 ;최미숙 옮김","다산북스","2020","","9791130630366","03900","909","157",
"59","빵으로 읽는 세계사 :10가지 빵 속에 담긴 인류 역사 이야기 ","이영숙 지음","스몰빅미디어","2021","","9791191731071","03900","909","155",
"60","세상 모든 것의 기원 :어디에도 없는 고고학 이야기 ","강인욱 지음","흐름출판","2023","","9788965965978","03900","902.5","154",
"60","자아폭발 :타락과 광기의 시대, 그 근원에 관한 도발적인 탐구 ","스티브 테일러 지음 ;우태영 옮김","서스테인","2024","","9791193388020","03900","909","154",
"62","디스 이즈 스페인 =This is Spain ","글·사진: 전혜진","Terra(테라)","2023","","9791192767062","13980","982.702","153",
"63","(효기심의) 권력으로 읽는 세계사 :힘과 욕망이 만들어낸 동아시아의 역사","효기심 지음","다산북스","2023","","9791130649252","04900","910.4","151",
"64","(박시백의) 고려사","지은이: 박시백","Humanist(휴머니스트출판그룹)","2022","2","9791160808766","07910","911.04","149",
"64","벌거벗은 세계사 :벗겼다, 국가를 뒤흔든 흥망성쇠","지은이: tvN <벌거벗은 세계사> 제작팀,조영헌","교보문고","2023","4","9791170610038","03900","909","149",
"64","나를 채우는 여행의 기술 :평범한 여행을 특별한 여행으로 바꾸는 30가지 질문 ","인생학교 지음 ;케이채 옮김","OrangeD(오렌지디)","2023","","9791192674414","03840","980.2","149",
"67","벌거벗은 세계사 :벗겼다, 세상을 뒤바꾼 인물","지은이: tvN <벌거벗은 세계사> 제작팀,조한욱","교보문고","2022","2","9791159095894","03900","909","147",
"68","벌거벗은 세계사 :벗겼다, 세상을 뒤흔든 역사","지은이: tvN <벌거벗은 세계사> 제작팀,최태성","교보문고","2022","","9791159095887","03900","909","146",
"69","시민의 한국사 ","한국역사연구회 지음","돌베개","2022","2","9791191438659","04910","911","145",
"70","괴물, 조선의 또 다른 풍경 :풍문부터 실록까지 괴물이 만난 조선 ","곽재식 지음","위즈덤하우스","2021","","9791191308228","03900","911.05","144",
"70","벌거벗은 한국사 :본격 우리 역사 스토리텔링쇼","tvN story <벌거벗은 한국사> 제작팀 지음 ;한희숙 지음","프런트페이지","2022","1","9791197871214","04910","911","144",
"72","괜찮아, 그 길 끝에 행복이 기다릴 거야 :흔들리고 지친 이들에게 산티아고가 보내는 응원 ","지은이: 손미나 ;사진: 센가 레이나","코알라컴퍼니","2023","","9791198262004","03810","982.702","142",
"73","나의 한국현대사 :1959-2014, 55년의 기록 ","유시민 지음","돌베개","2014","","9788971996096","03900","911.07","141",
"73","역사의 역사 =History of writing history ","유시민 지음","돌베개","2018","","9788971998557","03900","900","141",
"75","(박시백의) 고려사","지은이: 박시백","Humanist(휴머니스트출판그룹)","2022","1","9791160808094","07910","911.04","139",
