검색조건
대출기간,2024-01-01 ~ 2024-12-28
성별,전체
연령,20대
지역,전체
ISBN 부가기호,전체
주제,언어
세부주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2024-12-29
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"39","영어회화 100일의 기적 :100일 후에는 나도 영어로 말한다! ","문성현 지음","넥서스","2015","","9791157523399","13740","747.5","156",
"40","챗GPT 영어 질문법 :업무와 공부에 지금 당장 써먹을 수 있는 챗GPT 활용과 상황별 영어 질문의 모든 것! ","일간 소울영어 지음","이퍼블릭","2023","","9791169518383","13740","740.7","150",
"41","해커스 여행 일본어 10분의 기적 :상황별·장소별로 바로 말하는 여행 일본어 회화 ","지은이: 해커스 일본어연구소","해커스 어학연구소","2019","","9788965422907","13730","737.5","146",
"42","쓰이는 영문법 =Why is English like that? ","김수영 지음","길벗","2023","1","9791140703951","04740","745","144",
"42","맞춤법에 진심인 편 :자꾸 틀리고 헷갈리는 필수 표현 100가지 ","지은이: 차민진 ;그린이: 이혜원","풀빛","2024","","9791161729152","43700","711","144",
"44","말의 트렌드 :텐션과 사랑이 넘치는 요즘 말 탐구서 ","정유라 지음","인플루엔셜","2022","","9791168340657","03800","714.7","139",
"45","감정 문해력 수업 :인지언어학자가 들려주는 맥락, 상황, 뉘앙스를 읽는 법 ","유승민 지음","Whale Books(웨일북)","2023","","9791192097459","03800","701","138",
"46","9등급 꼴찌, 1년 만에 통역사 된 비법 ","장동완 지음","웅진씽크빅","2017","","9788901215709","03320","740","137",
"46","다시, 책으로 :순간접속의 시대에 책을 읽는다는 것 ","매리언 울프 지음 ;전병근 옮김","어크로스(어크로스출판그룹)","2019","","9791190030052","03020","701.018","137",
"48","일본어 상용한자 무작정 따라하기 ","권경배 지음","길벗","2021","","9791165214456","03730","731.44","136",
"49","오픽노잼 투 :오픽 불편러들을 위한 답변의 기술 ","지은이: 오픽노잼","위트앤위즈덤","2021","2","9788962818802","13740","740.77","135",
"49","(버전업!) 굿모닝 독학 일본어 첫걸음 ","지은이: 박동균,동양문고 기획실","상상공방","2006","","9788983004925","03730","730","135",
"49","야나두 영어회화 :느낌동사만 알면 야, 너두 할 수 있어! ","원예나 지음","라곰","2019","","9791189686024","03740","747.5","135",
"52","여행영어 100일의 기적 :해외여행 준비 D-100 프로젝트 ","문성현 지음","넥서스","2017","","9791161650401","13740","747.5","133",
"53","나혼자 끝내는 일본어 첫걸음 ","넥서스 콘텐츠개발팀 지음","넥서스","2016","","9791157528370","18730","737","132",
"54","(딱 한 번 읽고 바로 써먹는) 30일 기초 영문법","아티엔바나나 지음","비에이블","2021","1","9791190931410","13740","745","129",
"55","미국 영어 회화 문법 =Grammar context ","김아영 지음","사람in","2019","1","9788960497498","14740","745","128",
"56","어원 덕분에 영어 공부가 쉬워졌습니다 :쉽고 재미있게 배우는 영어 어원 그림책 ","저자: 시미즈 켄지,역자: 정지영","키출판사","2018","","9791188808816","13740","742","127",
"57","일본어 무작정 따라하기 ","후지이 아사리 지음","길벗이지톡","2014","","9788960478848","03730","737.5","125",
"58","언어 공부 :16개 국어를 구사하는 통역사의 언어 공부법 ","롬브 커토 지음 ;신견식 옮김","바다출판사","2017","","9788955619447","03300","707","124",
"59","1년 만에 교포로 오해받은 김아란의 영어 정복기 :영어를 배우는 당신이 꼭 봐야 할 아란잉글리쉬 ","저자: 김아란","시대인","2019","","9791125448679","13190","740.7","123",
"59","(마구로 센세의) 일본어 편의점 마스터 :일본 편의점 제대로 이용하는 능력치 키우기 ","나인완 지음","BS(브레인스토어)","2017","","9791188073108","03730","734","123",
"61","말 놓을 용기 :관계와 문화를 바꾸는 실전 평어 모험 ","지은이: 이성민","민음사","2023","","9788937426186","03100","710.13","122",
"62","거의 모든 행동 표현의 일본어 ","서영조,TJL 콘텐츠 연구소 지음","사람in","2022","","9788960499584","14730","737.5","121",
"63","강성태 영문법 :암기하지 않아도 암기되는 공신들의 영문법 공부 비법","지은이: 강성태","키출판사","2018","","9791189719005","13740","745","120",
"64","(걸어 다니는) 어원 사전 ","마크 포사이스 지음 ;홍한결 옮김","윌북","2020","","9791155813102","03740","742","119",
"64","(Happy와 sad 그 이상이 필요한 이들을 위한) 영어 감정 표현 사전 ","Sam Norris 저 ;정병선 옮김","길벗","2022","","9791165219727","03740","744","119",
"66","(저절로 몸에 새겨지는) 몰입 영어 ","황농문 지음","위즈덤하우스 미디어그룹","2018","","9791162207178","03320","740","118",
